hs6,description,product,category,segment,dgcis_segment,in_fed_definition,in_old_fed_analysis,in_telangana_study,in_icea,in_dgcis,in_icrier,world_exports_usd_bn,share_of_world_trade,comments,search_terms
852792,Radio-broadcast receivers n.e.c. in heading no. 8527; not combined with sound recording or reproducing apparatus but combined with a clock,Radio broadcast receivers,Telecom Apparatus,Final Goods,Telecom instruments,yes,yes,no,no,yes,no,0.135785,0.000031,Included in DGCIS,
852799,Radio-broadcast receivers n.e.c. in heading no. 8527; not combined with sound recording or reproducing apparatus and not combined with a clock,Radio broadcast receivers,Telecom Apparatus,Final Goods,Telecom instruments,yes,yes,yes,no,yes,yes,0.645335,0.000008,Included in DGCIS,
852842,"Monitors; cathode-ray tube, capable of directly connecting to and designed for use with an automatic data processing machine of heading 84.71",Monitors,Computer Hardware,Final Goods,"Computer hardware, peripherals",yes,yes,no,no,yes,no,0.084118,0.000019,Included in DGCIS,
852849,"Monitors; cathode-ray tube, n.e.c. in subheading 8528.42, whether or not colour",Monitors,Computer Hardware,Final Goods,"Computer hardware, peripherals",yes,yes,yes,no,yes,yes,0.200069,0.000045,Included in DGCIS,
852852,Monitors; other than cathode-ray tube; capable of directly connecting to and designed for use with an automatic data processing machine of heading 84.71,Monitors,Computer Hardware,Final Goods,"Computer hardware, peripherals",yes,yes,yes,no,yes,yes,19.740382,0.005539,Included in DGCIS,
852859,"Monitors other than cathode-ray tube; n.e.c. in subheading 8528.52, whether or not colour",Monitors,Computer Hardware,Final Goods,"Computer hardware, peripherals",yes,yes,yes,no,yes,yes,11.42665,0.00229,Included in DGCIS,
852862,Projectors; capable of directly connecting to and designed for use with an automatic data processing machine of heading 84.71,Projectros,Computer Hardware,Final Goods,"Computer hardware, peripherals",yes,yes,yes,no,yes,yes,2.304268,0.000553,Included in DGCIS,
852869,"Projectors; n.e.c. in subheading 8528.62, whether or not colour",Projects,Consumer Durables,Final Goods,Consumer electronics,yes,yes,yes,no,yes,yes,1.770069,0.00022,Included in DGCIS,
852871,"Reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus; not designed to incorporate a video display or screen",OTT Set Top Box/ Set Top Box,Consumer Durables,Final Goods,Consumer electronics,yes,yes,yes,yes,yes,yes,3.043137,0.000592,Included in DGCIS,
852872,"Reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus; incorporating a colour video display or screen",Colour TV sets,Consumer Durables,Final Goods,Consumer electronics,yes,yes,yes,no,yes,yes,42.542929,0.009474,Included in DGCIS,
852873,"Reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus; incorporating a monochrome video display or screen",Reception apparatus for television,Consumer Durables,Components,Consumer electronics,yes,yes,yes,no,yes,yes,0.089417,0.00002,Included in DGCIS,
852910,Reception and transmission apparatus; aerials and aerial reflectors of all kinds and parts suitable for use therewith,Telecommunication Equipment,Mobile & Telephone,Final Goods,Consumer electronics,yes,yes,yes,no,yes,yes,4.998316,0.000953,Included in DGCIS,
852990,"Reception and transmission apparatus; for use with the apparatus of heading no. 8524 to 8528, excluding aerials and aerial reflectors",Telecommunication Equipment,Mobile & Telephone,Components,Consumer electronics,yes,yes,yes,yes,yes,yes,37.048427,0.010418,Included in DGCIS,
853010,"Signalling, safety or traffic control equipment; for railways or tramways (excluding those of heading no. 8608)","Electric signal, safety & traffic controls",Other Electronics,Components,Not Included,no,yes,no,no,no,no,0.629668,0.000142,Small world share,
853080,"Signalling, safety or traffic control equipment; for roads, inland waterways, parking facilities, port installations or airfields (excluding those of heading no. 8608)","Electric signal, safety & traffic controls",Other Electronics,Components,Not Included,no,yes,no,no,no,no,0.087768,0.000011,Small world share,
853090,"Signalling apparatus; parts of safety, traffic control equipment for railways, tramways, roads, inland waterways, airfields, parking facilities, port instalments (excluding those of heading no. 8608)",Parts for signalling apparatus,Other Electronics,Components,Not Included,no,yes,no,no,no,no,0.029988,0.000004,Small world share,
853110,"Signalling apparatus; electric, sound or visual, burglar or fire alarms and similar, other than those of heading no. 8512 or 8530",Fire or burglar alarms,Consumer Durables,Final Goods,Consumer electronics,yes,yes,yes,no,yes,yes,5.340737,0.001504,Included in DGCIS,
853120,"Signalling apparatus; electric, sound or visual, indicator panels incorporating liquid crystal devices (LCD) or light-emitting diodes (LED), excluding those of heading no. 8512 or 8530",Indicator panels incorporating electronic displays,Other Electronics,Components,Electronics components,yes,yes,no,no,yes,yes,5.02791,0.001193,Included in DGCIS,
853180,"Signalling apparatus; electric, sound or visual, apparatus n.e.c. in heading no. 8531, excluding those of heading no. 8512 or 8530",Sound or signalling apparatus,Other Electronics,Components,Electronics components,yes,yes,no,no,yes,yes,4.787846,0.000481,Included in DGCIS,
853190,"Signalling apparatus; parts of the electric, sound or visual apparatus of heading no. 8531",Parts of electric sound & visual signalling apparatus,Other Electronics,Components,Electronics components,yes,yes,no,no,yes,yes,4.349072,0.000751,Included in DGCIS,
853210,"Electrical capacitors; fixed, designed for use in 50/60 Hz circuits and having a reactive power handling capacity of not less than 0.5 kvar (power capacitors)",Electrical capacitors,Electrical Equipment,Components,Electronics components,yes,yes,yes,no,yes,yes,0.566891,0.000127,Included in DGCIS,
853221,"Electrical capacitors; fixed, tantalum",Electrical capacitors,Electrical Equipment,Components,Electronics components,yes,yes,yes,no,yes,yes,2.003503,0.000314,Included in DGCIS,
853222,"Electrical capacitors; fixed, aluminium electrolytic",Electrical capacitors,Electrical Equipment,Components,Electronics components,yes,yes,yes,yes,yes,yes,5.78716,0.001176,Included in DGCIS,
853223,"Electrical capacitors; fixed, ceramic dielectric, single layer",Electrical capacitors,Electrical Equipment,Components,Electronics components,yes,yes,no,yes,yes,no,0.558596,0.000126,Included in DGCIS,
853224,"Electrical capacitors; fixed, ceramic dielectric, multilayer",Electrical capacitors,Electrical Equipment,Components,Electronics components,yes,yes,yes,yes,yes,yes,17.623939,0.004006,Included in DGCIS,
853225,"Electrical capacitors; fixed, dielectric of paper or plastics",Electrical capacitors,Electrical Equipment,Components,Electronics components,yes,yes,yes,yes,yes,yes,2.366989,0.000281,Included in DGCIS,
853229,"Electrical capacitors; fixed, n.e.c. in heading no. 8532",Electrical capacitors,Electrical Equipment,Components,Not Included,yes,yes,no,yes,no,yes,2.192955,0.000323,Included in ICEA,
853230,Electrical capacitors; variable or adjustable (pre-set) capacitors,Electrical capacitors,Electrical Equipment,Components,Electronics components,yes,yes,yes,no,yes,yes,0.26627,0.00006,Included in DGCIS,
853290,Electrical capacitors; parts of the capacitors of heading no. 8532,Parts of electrical capacitors,Electrical Equipment,Components,Electronics components,yes,yes,yes,no,yes,yes,1.042182,0.000082,Included in DGCIS,
853310,"Electrical resistors; fixed carbon resistors, composition or film types (including rheostats and potentiometers but excluding heating resistors)",Electrical resistors,Electrical Equipment,Components,Electronics components,yes,yes,yes,no,yes,yes,0.452156,0.000102,Included in DGCIS,
853321,"Electrical resistors; fixed, for a power handling capacity not exceeding 20W (including rheostats and potentiometers but excluding heating resistors and carbon resistors)",Electrical resistors,Electrical Equipment,Components,Electronics components,yes,yes,yes,yes,yes,yes,5.861792,0.000995,Included in DGCIS,
853329,"Electrical resistors; fixed, for a power handling capacity exceeding 20W (including rheostats and potentiometers but excluding heating resistors and carbon resistors)",Electrical resistors,Electrical Equipment,Components,Electronics components,yes,yes,yes,no,yes,yes,0.9786,0.000038,Included in DGCIS,
853331,"Electrical resistors; wirewound variable, including rheostats and potentiometers, for a power handling capacity not exceeding 20W (excluding heating)",Electrical resistors,Electrical Equipment,Components,Electronics components,yes,yes,yes,yes,yes,yes,0.09048,0.00002,Included in DGCIS,
853339,"Electrical resistors; wirewound variable, including rheostats and potentiometers, for a power handling capacity exceeding 20W (excluding heating)",Electrical resistors,Electrical Equipment,Components,Electronics components,yes,yes,yes,no,yes,yes,0.059531,0.000013,Included in DGCIS,
853340,"Electrical resistors; variable, including rheostats and potentiometers (excluding heating)",Electrical resistors,Electrical Equipment,Components,Electronics components,yes,yes,yes,yes,yes,yes,3.524305,0.001351,Included in DGCIS,
853390,Resistors; parts of the resistors of heading no. 8533,Parts of electrical resistors,Electrical Equipment,Components,Electronics components,yes,yes,yes,no,yes,yes,0.407983,0.000092,Included in DGCIS,
853400,Circuits; printed,Printed Circuits,Semiconductor,Components,Electronics components,yes,yes,yes,yes,yes,yes,45.034644,0.01082,Included in DGCIS,
853510,"Electrical apparatus; fuses, for a voltage exceeding 1000 volts",Electrical apparatus,Electrical Equipment,Components,Not Included,no,yes,no,no,no,no,0.574909,0.000129,Small world share,
